claim,evidence,label,claim_clean,evidence_clean,combined_text
Carriers of HNF4A mutations are at reduced risk for diabetes.,,0,carrier hnfa mutation reduced risk diabetes,,carrier hnfa mutation reduced risk diabetes 
Cell autonomous sex determination in somatic cells occurs in Galliformes.,"These studies demonstrated that gynandromorph birds are genuine male:female chimaeras, and indicated that male and female avian somatic cells may have an inherent sex identity.",1,cell autonomous sex determination somatic cell occurs galliformes,study demonstrated gynandromorph bird genuine malefemale chimaera indicated male female avian somatic cell may inherent sex identity,cell autonomous sex determination somatic cell occurs galliformes study demonstrated gynandromorph bird genuine malefemale chimaera indicated male female avian somatic cell may inherent sex identity
Cell autonomous sex determination in somatic cells occurs in Galliformes.,"In an example where female tissue was transplanted into a male host, donor cells contributing to the developing testis retained a female identity and expressed a marker of female function.",1,cell autonomous sex determination somatic cell occurs galliformes,example female tissue transplanted male host donor cell contributing developing testis retained female identity expressed marker female function,cell autonomous sex determination somatic cell occurs galliformes example female tissue transplanted male host donor cell contributing developing testis retained female identity expressed marker female function
Cell autonomous sex determination in somatic cells occurs in Galliformes.,"Our study demonstrates that avian somatic cells possess an inherent sex identity and that, in birds, sexual differentiation is substantively cell autonomous.",1,cell autonomous sex determination somatic cell occurs galliformes,study demonstrates avian somatic cell possess inherent sex identity bird sexual differentiation substantively cell autonomous,cell autonomous sex determination somatic cell occurs galliformes study demonstrates avian somatic cell possess inherent sex identity bird sexual differentiation substantively cell autonomous
Cellular clocks are associated with mitosis timing in NIH 3T3 cells.,"The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression.",1,cellular clock associated mitosis timing nih cell,analysis thousand circadian cycle dividing cell clearly indicated oscillator tick modelocked state cell division occurring tightly h peak circadian reverbαyfp reporter expression,cellular clock associated mitosis timing nih cell analysis thousand circadian cycle dividing cell clearly indicated oscillator tick modelocked state cell division occurring tightly h peak circadian reverbαyfp reporter expression
Cellular clocks are not predictive of mitosis timing in NIH 3T3 cells.,"The analysis of thousands of circadian cycles in dividing cells clearly indicated that both oscillators tick in a 1:1 mode-locked state, with cell divisions occurring tightly 5 h before the peak in circadian Rev-Erbα-YFP reporter expression.",0,cellular clock predictive mitosis timing nih cell,analysis thousand circadian cycle dividing cell clearly indicated oscillator tick modelocked state cell division occurring tightly h peak circadian reverbαyfp reporter expression,cellular clock predictive mitosis timing nih cell analysis thousand circadian cycle dividing cell clearly indicated oscillator tick modelocked state cell division occurring tightly h peak circadian reverbαyfp reporter expression
"Cellular differentiation of embryonic stem cells is accompanied by changes in replication timing, transcription and nuclear localization.","Replication-timing changes were coordinated with transcription changes for weak promoters more than strong promoters, and were accompanied by rearrangements in subnuclear position.",1,cellular differentiation embryonic stem cell accompanied change replication timing transcription nuclear localization,replicationtiming change coordinated transcription change weak promoter strong promoter accompanied rearrangement subnuclear position,cellular differentiation embryonic stem cell accompanied change replication timing transcription nuclear localization replicationtiming change coordinated transcription change weak promoter strong promoter accompanied rearrangement subnuclear position
Certain immunomodulator-human dialyzable leukocyte extract (hDLE) peptides are recognized by toll-like receptors (TLRs) on macrophages and dendritic cells.,,0,certain immunomodulatorhuman dialyzable leukocyte extract hdle peptide recognized tolllike receptor tlrs macrophage dendritic cell,,certain immunomodulatorhuman dialyzable leukocyte extract hdle peptide recognized tolllike receptor tlrs macrophage dendritic cell 
Charcoal is an effective treatment for acute paraquat poisoning.,Activated charcoal hemoperfusion had little effect on avoiding acute kidney injury in patients with severe PQ poisoning.,0,charcoal effective treatment acute paraquat poisoning,activated charcoal hemoperfusion little effect avoiding acute kidney injury patient severe pq poisoning,charcoal effective treatment acute paraquat poisoning activated charcoal hemoperfusion little effect avoiding acute kidney injury patient severe pq poisoning
Charcoal shows no benefit for acute paraquat poisoning.,Activated charcoal hemoperfusion had little effect on avoiding acute kidney injury in patients with severe PQ poisoning.,1,charcoal show benefit acute paraquat poisoning,activated charcoal hemoperfusion little effect avoiding acute kidney injury patient severe pq poisoning,charcoal show benefit acute paraquat poisoning activated charcoal hemoperfusion little effect avoiding acute kidney injury patient severe pq poisoning
Chemical injury represses transglutaminase 2 activity.,,0,chemical injury represses transglutaminase activity,,chemical injury represses transglutaminase activity 
Chenodeoxycholic acid treatment decreases brown adipose tissue activity.,Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity.,0,chenodeoxycholic acid treatment decrease brown adipose tissue activity,treatment healthy female subject cdca day resulted increased bat activity,chenodeoxycholic acid treatment decrease brown adipose tissue activity treatment healthy female subject cdca day resulted increased bat activity
Chenodeoxycholic acid treatment increases brown adipose tissue activity.,Treatment of 12 healthy female subjects with CDCA for 2 days resulted in increased BAT activity.,1,chenodeoxycholic acid treatment increase brown adipose tissue activity,treatment healthy female subject cdca day resulted increased bat activity,chenodeoxycholic acid treatment increase brown adipose tissue activity treatment healthy female subject cdca day resulted increased bat activity
Chinese individuals with TT homozygosity in the MTHFR gene are less vulnerable to strokes caused by low levels of folate intake.,,0,chinese individual tt homozygosity mthfr gene less vulnerable stroke caused low level folate intake,,chinese individual tt homozygosity mthfr gene less vulnerable stroke caused low level folate intake 
Chinese individuals with TT homozygosity in the MTHFR gene are more vulnerable to strokes caused by low levels of folate intake.,,0,chinese individual tt homozygosity mthfr gene vulnerable stroke caused low level folate intake,,chinese individual tt homozygosity mthfr gene vulnerable stroke caused low level folate intake 
Chlamydia trachomatis is most prevalent in the UK among individuals in their 50s and 60s.,,0,chlamydia trachomatis prevalent uk among individual,,chlamydia trachomatis prevalent uk among individual 
Chlamydia trachomatis is most prevalent in the UK among sexually-experienced individuals aged 16 to 24.,Prevalences in individuals aged 16-24 years were 3·1% (2·2-4·3) in women and 2·3% (1·5-3·4) in men.,1,chlamydia trachomatis prevalent uk among sexuallyexperienced individual aged,prevalence individual aged year woman men,chlamydia trachomatis prevalent uk among sexuallyexperienced individual aged prevalence individual aged year woman men
"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.","On the basis of in vivo KLF4 chromatin immunoprecipitation–sequencing (ChIP-seq) analyses and studies of cholesterol-treated cultured SMCs, we identified >800 KLF4 target genes, including many that regulate pro-inflammatory responses of SMCs.",1,cholesterol loading induces klf expression vsmcs resulting expression proinflammatory cytokine,basis vivo klf chromatin immunoprecipitationsequencing chipseq analysis study cholesteroltreated cultured smcs identified klf target gene including many regulate proinflammatory response smcs,cholesterol loading induces klf expression vsmcs resulting expression proinflammatory cytokine basis vivo klf chromatin immunoprecipitationsequencing chipseq analysis study cholesteroltreated cultured smcs identified klf target gene including many regulate proinflammatory response smcs
"Cholesterol loading induces KLF4 expression in VSMCs, resulting in the expression of pro-inflammatory cytokines.","Our findings indicate that the contribution of SMCs to atherosclerotic plaques has been greatly underestimated, and that KLF4-dependent transitions in SMC phenotype are critical in lesion pathogenesis.",1,cholesterol loading induces klf expression vsmcs resulting expression proinflammatory cytokine,finding indicate contribution smcs atherosclerotic plaque greatly underestimated klfdependent transition smc phenotype critical lesion pathogenesis,cholesterol loading induces klf expression vsmcs resulting expression proinflammatory cytokine finding indicate contribution smcs atherosclerotic plaque greatly underestimated klfdependent transition smc phenotype critical lesion pathogenesis
Chronic HIV stimulation of B cells leads to the premature exhaustion of B cells.,,0,chronic hiv stimulation b cell lead premature exhaustion b cell,,chronic hiv stimulation b cell lead premature exhaustion b cell 
Cis-acting lncRNAs control the expression of genes that are positioned in the vicinity of their transcription sites.,,0,cisacting lncrnas control expression gene positioned vicinity transcription site,,cisacting lncrnas control expression gene positioned vicinity transcription site 
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,"Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation.",0,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle,indeed netosis neutrophil externalized citrullinated autoantigens implicated ra pathogenesis anticitrullinated vimentin antibody potently induced net formation,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle indeed netosis neutrophil externalized citrullinated autoantigens implicated ra pathogenesis anticitrullinated vimentin antibody potently induced net formation
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,"In turn, NETs significantly augmented inflammatory responses in RA and OA synovial fibroblasts, including induction of IL-6, IL-8, chemokines, and adhesion molecules.",0,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle,turn net significantly augmented inflammatory response ra oa synovial fibroblast including induction il il chemokines adhesion molecule,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle turn net significantly augmented inflammatory response ra oa synovial fibroblast including induction il il chemokines adhesion molecule
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,"BACKGROUND Histone deimination regulates gene function and contributes to antimicrobial response, allowing the formation of neutrophil extracellular traps (NETs).",0,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle,background histone deimination regulates gene function contributes antimicrobial response allowing formation neutrophil extracellular trap net,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle background histone deimination regulates gene function contributes antimicrobial response allowing formation neutrophil extracellular trap net
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,"Deiminated proteins are target of anti-citrullinated peptides antibodies (ACPA) in rheumatoid arthritis (RA).   
",0,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle,deiminated protein target anticitrullinated peptide antibody acpa rheumatoid arthritis ra,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle deiminated protein target anticitrullinated peptide antibody acpa rheumatoid arthritis ra
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to disrupt the inflammatory cycle.,"CONCLUSIONS Citrullinated H4 from activated neutrophils and NETs is a target of antibodies in RA, and synthetic citrullinated H4-derived peptides are a new substrate for ACPA detection.",0,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle,conclusion citrullinated h activated neutrophil net target antibody ra synthetic citrullinated hderived peptide new substrate acpa detection,citrullinated protein externalized neutrophil extracellular trap act indirectly disrupt inflammatory cycle conclusion citrullinated h activated neutrophil net target antibody ra synthetic citrullinated hderived peptide new substrate acpa detection
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,"Indeed, during NETosis, neutrophils externalized the citrullinated autoantigens implicated in RA pathogenesis, and anti-citrullinated vimentin antibodies potently induced NET formation.",1,citrullinated protein externalized neutrophil extracellular trap act indirectly perpetuate inflammatory cycle via induction autoantibody,indeed netosis neutrophil externalized citrullinated autoantigens implicated ra pathogenesis anticitrullinated vimentin antibody potently induced net formation,citrullinated protein externalized neutrophil extracellular trap act indirectly perpetuate inflammatory cycle via induction autoantibody indeed netosis neutrophil externalized citrullinated autoantigens implicated ra pathogenesis anticitrullinated vimentin antibody potently induced net formation
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,"Moreover, the inflammatory cytokines interleukin-17A (IL-17A) and tumor necrosis factor-α (TNF-α) induced NETosis in RA neutrophils.",1,citrullinated protein externalized neutrophil extracellular trap act indirectly perpetuate inflammatory cycle via induction autoantibody,moreover inflammatory cytokine interleukina ila tumor necrosis factorα tnfα induced netosis ra neutrophil,citrullinated protein externalized neutrophil extracellular trap act indirectly perpetuate inflammatory cycle via induction autoantibody moreover inflammatory cytokine interleukina ila tumor necrosis factorα tnfα induced netosis ra neutrophil
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,"In turn, NETs significantly augmented inflammatory responses in RA and OA synovial fibroblasts, including induction of IL-6, IL-8, chemokines, and adhesion molecules.",1,citrullinated protein externalized neutrophil extracellular trap act indirectly perpetuate inflammatory cycle via induction autoantibody,turn net significantly augmented inflammatory response ra oa synovial fibroblast including induction il il chemokines adhesion molecule,citrullinated protein externalized neutrophil extracellular trap act indirectly perpetuate inflammatory cycle via induction autoantibody turn net significantly augmented inflammatory response ra oa synovial fibroblast including induction il il chemokines adhesion molecule
Citrullinated proteins externalized in neutrophil extracellular traps act indirectly to perpetuate the inflammatory cycle via induction of autoantibodies.,"These observations implicate accelerated NETosis in RA pathogenesis, through externalization of citrullinated autoantigens and immunostimulatory molecules that may promote aberrant adaptive and innate immune responses in the joint and in the periphery, and perpetuate pathogenic mechanisms in this disease.",1,citrullinated protein externalized neutrophil extracellular trap act indirectly perpetuate inflammatory cycle via induction autoantibody,observation implicate accelerated netosis ra pathogenesis externalization citrullinated autoantigens immunostimulatory molecule may promote aberrant adaptive innate immune response joint periphery perpetuate pathogenic mechanism disease,citrullinated protein externalized neutrophil extracellular trap act indirectly perpetuate inflammatory cycle via induction autoantibody observation implicate accelerated netosis ra pathogenesis externalization citrullinated autoantigens immunostimulatory molecule may promote aberrant adaptive innate immune response joint periphery perpetuate pathogenic mechanism disease
Clathrin stabilizes the spindle fiber apparatus during mitosis.,"Here, we show that clathrin stabilizes fibres of the mitotic spindle to aid congression of chromosomes.",1,clathrin stabilizes spindle fiber apparatus mitosis,show clathrin stabilizes fibre mitotic spindle aid congression chromosome,clathrin stabilizes spindle fiber apparatus mitosis show clathrin stabilizes fibre mitotic spindle aid congression chromosome
Clathrin stabilizes the spindle fiber apparatus during mitosis.,"Depletion of clathrin heavy chain using RNA interference prolonged mitosis; kinetochore fibres were destabilized, leading to defective congression of chromosomes to the metaphase plate and persistent activation of the spindle checkpoint.",1,clathrin stabilizes spindle fiber apparatus mitosis,depletion clathrin heavy chain using rna interference prolonged mitosis kinetochore fibre destabilized leading defective congression chromosome metaphase plate persistent activation spindle checkpoint,clathrin stabilizes spindle fiber apparatus mitosis depletion clathrin heavy chain using rna interference prolonged mitosis kinetochore fibre destabilized leading defective congression chromosome metaphase plate persistent activation spindle checkpoint
Clathrin stabilizes the spindle fiber apparatus during mitosis.,"Normal mitosis was rescued by clathrin triskelia but not the N-terminal domain of clathrin heavy chain, indicating that stabilization of kinetochore fibres was dependent on the unique structure of clathrin.",1,clathrin stabilizes spindle fiber apparatus mitosis,normal mitosis rescued clathrin triskelion nterminal domain clathrin heavy chain indicating stabilization kinetochore fibre dependent unique structure clathrin,clathrin stabilizes spindle fiber apparatus mitosis normal mitosis rescued clathrin triskelion nterminal domain clathrin heavy chain indicating stabilization kinetochore fibre dependent unique structure clathrin
Cnn1 recruitment varies with cell cycle timing.,Cnn1 regulates KMN activity in a spatiotemporal manner by inhibiting the interaction between its complexes.,1,cnn recruitment varies cell cycle timing,cnn regulates kmn activity spatiotemporal manner inhibiting interaction complex,cnn recruitment varies cell cycle timing cnn regulates kmn activity spatiotemporal manner inhibiting interaction complex
Cnn1 recruitment varies with cell cycle timing.,"Cnn1 activity peaks in anaphase and is driven by the Cdc28, Mps1 and Ipl1 kinases.",1,cnn recruitment varies cell cycle timing,cnn activity peak anaphase driven cdc mp ipl kinase,cnn recruitment varies cell cycle timing cnn activity peak anaphase driven cdc mp ipl kinase
Cognitive behavioral therapy is an ineffective treatment for insomnia,RESULTS CBT resulted in improved short- and long-term outcomes compared with zopiclone on 3 out of 4 outcome measures.,0,cognitive behavioral therapy ineffective treatment insomnia,result cbt resulted improved short longterm outcome compared zopiclone outcome measure,cognitive behavioral therapy ineffective treatment insomnia result cbt resulted improved short longterm outcome compared zopiclone outcome measure
Cognitive behavioral therapy is an ineffective treatment for insomnia,Participants receiving CBT improved their sleep efficiency from 81.4% at pretreatment to 90.1% at 6-month follow-up compared with a decrease from 82.3% to 81.9% in the zopiclone group.,0,cognitive behavioral therapy ineffective treatment insomnia,participant receiving cbt improved sleep efficiency pretreatment month followup compared decrease zopiclone group,cognitive behavioral therapy ineffective treatment insomnia participant receiving cbt improved sleep efficiency pretreatment month followup compared decrease zopiclone group
Cognitive behavioral therapy is an ineffective treatment for insomnia,"Participants in the CBT group spent much more time in slow-wave sleep (stages 3 and 4) compared with those in other groups, and spent less time awake during the night.",0,cognitive behavioral therapy ineffective treatment insomnia,participant cbt group spent much time slowwave sleep stage compared group spent less time awake night,cognitive behavioral therapy ineffective treatment insomnia participant cbt group spent much time slowwave sleep stage compared group spent less time awake night
Cognitive behavioral therapy is an ineffective treatment for insomnia,"CONCLUSION These results suggest that interventions based on CBT are superior to zopiclone treatment both in short- and long-term management of insomnia in older adults.   
",0,cognitive behavioral therapy ineffective treatment insomnia,conclusion result suggest intervention based cbt superior zopiclone treatment short longterm management insomnia older adult,cognitive behavioral therapy ineffective treatment insomnia conclusion result suggest intervention based cbt superior zopiclone treatment short longterm management insomnia older adult
Combination nicotine replacement therapies with varenicline or bupropion are more effective after 12 weeks of reatment compared to varenicline monotherapy.,"RESULTS At 12 weeks, 53.0% of the combination therapy group achieved prolonged smoking abstinence and 56.2% achieved 7-day point-prevalence smoking abstinence compared with 43.2% and 48.6% in varenicline monotherapy (odds ratio [OR], 1.49; 95% CI, 1.05-2.12; P = .03 and OR, 1.36; 95% CI, 0.95-1.93; P = .09, respectively).",1,combination nicotine replacement therapy varenicline bupropion effective week reatment compared varenicline monotherapy,result week combination therapy group achieved prolonged smoking abstinence achieved day pointprevalence smoking abstinence compared varenicline monotherapy odds ratio ci p ci p respectively,combination nicotine replacement therapy varenicline bupropion effective week reatment compared varenicline monotherapy result week combination therapy group achieved prolonged smoking abstinence achieved day pointprevalence smoking abstinence compared varenicline monotherapy odds ratio ci p ci p respectively
"Commelina yellow mottle virus (ComYMV) has three typical badnavirus ORFs, capable of encoding proteins 23, 15, and 216 kD.","Analysis of the genome sequence indicates that the genome is 7489 bp in size and that the transcribed strand contains three open reading frames capable of encoding proteins of 23, 15 and 216 kd.",1,commelina yellow mottle virus comymv three typical badnavirus orfs capable encoding protein kd,analysis genome sequence indicates genome bp size transcribed strand contains three open reading frame capable encoding protein kd,commelina yellow mottle virus comymv three typical badnavirus orfs capable encoding protein kd analysis genome sequence indicates genome bp size transcribed strand contains three open reading frame capable encoding protein kd
Commelina yellow mottle virus' (ComYMV) genome consists of 2140 baise pairs.,"Analysis of the genome sequence indicates that the genome is 7489 bp in size and that the transcribed strand contains three open reading frames capable of encoding proteins of 23, 15 and 216 kd.",0,commelina yellow mottle virus comymv genome consists baise pair,analysis genome sequence indicates genome bp size transcribed strand contains three open reading frame capable encoding protein kd,commelina yellow mottle virus comymv genome consists baise pair analysis genome sequence indicates genome bp size transcribed strand contains three open reading frame capable encoding protein kd
Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,"Through comparative analysis of expression in platelets and other blood cells we demonstrated that G6b, G6f, and LRRC32 are restricted to the platelet lineage, whereas LAT2 and SUCNR1 were also detected in other blood cells.",1,comparative transcriptome analysis identified new platelet protein structural feature suggesting role platelet function,comparative analysis expression platelet blood cell demonstrated gb gf lrrc restricted platelet lineage whereas lat sucnr also detected blood cell,comparative transcriptome analysis identified new platelet protein structural feature suggesting role platelet function comparative analysis expression platelet blood cell demonstrated gb gf lrrc restricted platelet lineage whereas lat sucnr also detected blood cell
Comparative transcriptome analysis identified new platelet proteins with structural features suggesting a role in platelet function.,"The identification of the succinate receptor SUCNR1 in platelets is of particular interest, because physiologically relevant concentrations of succinate were shown to potentiate the effect of low doses of a variety of platelet agonists.",1,comparative transcriptome analysis identified new platelet protein structural feature suggesting role platelet function,identification succinate receptor sucnr platelet particular interest physiologically relevant concentration succinate shown potentiate effect low dos variety platelet agonist,comparative transcriptome analysis identified new platelet protein structural feature suggesting role platelet function identification succinate receptor sucnr platelet particular interest physiologically relevant concentration succinate shown potentiate effect low dos variety platelet agonist
Concentrations of SNV and CNV in stem-cell regulatory elements and binding sites of transcription factors in iPSC-lines are distinct from their founding cells.,,0,concentration snv cnv stemcell regulatory element binding site transcription factor ipsclines distinct founding cell,,concentration snv cnv stemcell regulatory element binding site transcription factor ipsclines distinct founding cell 
Consumption of whole fruits increases the risk of type 2 diabetes.,"Greater consumption of specific whole fruits, particularly blueberries, grapes, and apples, is significantly associated with a lower risk of type 2 diabetes, whereas greater consumption of fruit juice is associated with a higher risk.",0,consumption whole fruit increase risk type diabetes,greater consumption specific whole fruit particularly blueberry grape apple significantly associated lower risk type diabetes whereas greater consumption fruit juice associated higher risk,consumption whole fruit increase risk type diabetes greater consumption specific whole fruit particularly blueberry grape apple significantly associated lower risk type diabetes whereas greater consumption fruit juice associated higher risk
Continued HHV-8 transmission among MSM in San Francisco may be explained by urogenital contact.,,0,continued hhv transmission among msm san francisco may explained urogenital contact,,continued hhv transmission among msm san francisco may explained urogenital contact 
Converting apoE4 to apoE3 by gene editing prevents the pathology associated with apoE4 in human iPSCderived neurons.,"Converting ApoE4 to ApoE3 by gene editing rescued these phenotypes, indicating the specific effects of ApoE4.",1,converting apoe apoe gene editing prevents pathology associated apoe human ipscderived neuron,converting apoe apoe gene editing rescued phenotype indicating specific effect apoe,converting apoe apoe gene editing prevents pathology associated apoe human ipscderived neuron converting apoe apoe gene editing rescued phenotype indicating specific effect apoe
Converting apoE4 to apoE3 by gene editing worsens the pathology associated with apoE4 in human iPSCderived neurons.,"Converting ApoE4 to ApoE3 by gene editing rescued these phenotypes, indicating the specific effects of ApoE4.",0,converting apoe apoe gene editing worsens pathology associated apoe human ipscderived neuron,converting apoe apoe gene editing rescued phenotype indicating specific effect apoe,converting apoe apoe gene editing worsens pathology associated apoe human ipscderived neuron converting apoe apoe gene editing rescued phenotype indicating specific effect apoe
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,The mean costs (for GPRD events) over calendar time were US$58k during 1990-1993 and US$174k during 2002-2005.,0,cost effectiveness evaluation based crct data accurately reflect price patient actual clinical practice,mean cost gprd event calendar time usk usk,cost effectiveness evaluation based crct data accurately reflect price patient actual clinical practice mean cost gprd event calendar time usk usk
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,"Using RCT data rather than GPRD data for event probabilities, the mean cost was US$16k with the VIGOR RCT and US$20k with the CLASS RCT.   
",0,cost effectiveness evaluation based crct data accurately reflect price patient actual clinical practice,using rct data rather gprd data event probability mean cost usk vigor rct usk class rct,cost effectiveness evaluation based crct data accurately reflect price patient actual clinical practice using rct data rather gprd data event probability mean cost usk vigor rct usk class rct
Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,"CONCLUSIONS The published cost-effectiveness analyses of coxibs lacked external validity, did not represent patients in actual clinical practice, and should not have been used to inform prescribing policies.",0,cost effectiveness evaluation based crct data accurately reflect price patient actual clinical practice,conclusion published costeffectiveness analysis coxibs lacked external validity represent patient actual clinical practice used inform prescribing policy,cost effectiveness evaluation based crct data accurately reflect price patient actual clinical practice conclusion published costeffectiveness analysis coxibs lacked external validity represent patient actual clinical practice used inform prescribing policy
Cost effectiveness evaluations based on cRCT data lack external validity.,"Only a minority of patients used the drugs long-term and daily (34.5% of conventional NSAIDs and 44.2% of coxibs), whereas coxib RCTs required daily use for at least 6-9 months.",1,cost effectiveness evaluation based crct data lack external validity,minority patient used drug longterm daily conventional nsaid coxibs whereas coxib rcts required daily use least month,cost effectiveness evaluation based crct data lack external validity minority patient used drug longterm daily conventional nsaid coxibs whereas coxib rcts required daily use least month
Cost effectiveness evaluations based on cRCT data lack external validity.,The mean costs (for GPRD events) over calendar time were US$58k during 1990-1993 and US$174k during 2002-2005.,1,cost effectiveness evaluation based crct data lack external validity,mean cost gprd event calendar time usk usk,cost effectiveness evaluation based crct data lack external validity mean cost gprd event calendar time usk usk
Cost effectiveness evaluations based on cRCT data lack external validity.,"Using RCT data rather than GPRD data for event probabilities, the mean cost was US$16k with the VIGOR RCT and US$20k with the CLASS RCT.   
",1,cost effectiveness evaluation based crct data lack external validity,using rct data rather gprd data event probability mean cost usk vigor rct usk class rct,cost effectiveness evaluation based crct data lack external validity using rct data rather gprd data event probability mean cost usk vigor rct usk class rct
Cost effectiveness evaluations based on cRCT data lack external validity.,"CONCLUSIONS The published cost-effectiveness analyses of coxibs lacked external validity, did not represent patients in actual clinical practice, and should not have been used to inform prescribing policies.",1,cost effectiveness evaluation based crct data lack external validity,conclusion published costeffectiveness analysis coxibs lacked external validity represent patient actual clinical practice used inform prescribing policy,cost effectiveness evaluation based crct data lack external validity conclusion published costeffectiveness analysis coxibs lacked external validity represent patient actual clinical practice used inform prescribing policy
Crossover hot spots are found within gene promoters in Saccharomyces cerevisiae.,,0,crossover hot spot found within gene promoter saccharomyces cerevisiae,,crossover hot spot found within gene promoter saccharomyces cerevisiae 
Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,The switch to more stable k-MT attachments in metaphase requires the proteasome-dependent destruction of cyclin A in prometaphase.,1,cyclin destruction necessary switch unstable stable ktmt attachment mitosis,switch stable kmt attachment metaphase requires proteasomedependent destruction cyclin prometaphase,cyclin destruction necessary switch unstable stable ktmt attachment mitosis switch stable kmt attachment metaphase requires proteasomedependent destruction cyclin prometaphase
Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,Persistent cyclin A expression prevents k-MT stabilization even in cells with aligned chromosomes.,1,cyclin destruction necessary switch unstable stable ktmt attachment mitosis,persistent cyclin expression prevents kmt stabilization even cell aligned chromosome,cyclin destruction necessary switch unstable stable ktmt attachment mitosis persistent cyclin expression prevents kmt stabilization even cell aligned chromosome
Cyclin A2 destruction is necessary to switch from unstable to stable kt-mt attachments in mitosis.,"By contrast, k-MTs are prematurely stabilized in cyclin-A-deficient cells.",1,cyclin destruction necessary switch unstable stable ktmt attachment mitosis,contrast kmts prematurely stabilized cyclinadeficient cell,cyclin destruction necessary switch unstable stable ktmt attachment mitosis contrast kmts prematurely stabilized cyclinadeficient cell
Cytochrome c is transferred from cytosol to the mitochondrial intermembrane space during apoptosis.,"Apoptosis that proceeds via the mitochondrial pathway involves mitochondrial outer membrane permeabilization (MOMP), responsible for the release of cytochrome c and other proteins of the mitochondrial intermembrane space.",0,cytochrome c transferred cytosol mitochondrial intermembrane space apoptosis,apoptosis proceeds via mitochondrial pathway involves mitochondrial outer membrane permeabilization momp responsible release cytochrome c protein mitochondrial intermembrane space,cytochrome c transferred cytosol mitochondrial intermembrane space apoptosis apoptosis proceeds via mitochondrial pathway involves mitochondrial outer membrane permeabilization momp responsible release cytochrome c protein mitochondrial intermembrane space
Cytosolic proteins bind to iron-responsive elements on mRNAs coding for TFRC1.,,0,cytosolic protein bind ironresponsive element mrna coding tfrc,,cytosolic protein bind ironresponsive element mrna coding tfrc 
DMS3 protein enables Pol V transcription in vivo.,,0,dm protein enables pol v transcription vivo,,dm protein enables pol v transcription vivo 
DRD1 proteins enable Pol V transcription in vivo.,Pol IVb/Pol V transcription requires the chromatin-remodeling protein DRD1 but is independent of siRNA biogenesis.,1,drd protein enable pol v transcription vivo,pol ivbpol v transcription requires chromatinremodeling protein drd independent sirna biogenesis,drd protein enable pol v transcription vivo pol ivbpol v transcription requires chromatinremodeling protein drd independent sirna biogenesis
DUSP4 decreases apoptosis.,"DUSP4 overexpression increased chemotherapy-induced apoptosis, whereas DUSP4 depletion dampened the response to chemotherapy.",0,dusp decrease apoptosis,dusp overexpression increased chemotherapyinduced apoptosis whereas dusp depletion dampened response chemotherapy,dusp decrease apoptosis dusp overexpression increased chemotherapyinduced apoptosis whereas dusp depletion dampened response chemotherapy
